date,status,converged_steps,min_voltage_pu,max_voltage_pu,voltage_violations,F06_mae_mw,F06_correlation,F07_mae_mw,F07_correlation,F08_mae_mw,F08_correlation,F09_mae_mw,F09_correlation,F10_mae_mw,F10_correlation,F11_mae_mw,F11_correlation,F12_mae_mw,F12_correlation,system_mae_mw,system_correlation
2025-06-08,success,96,0.7957104133315139,0.9981874216305218,11700,0.7172163164469643,0.9833122373486582,0.5636276611597157,0.9920035821058678,0.4625365659553754,0.9957148459676728,0.926898761959044,0.9631022980080173,1.0138921071858904,0.9867225643399957,8.108103316424092,0.4066826225850896,3.7729266474611944,0.9941913100234937,4.356834135428203,0.9431561539029578
2025-06-09,success,96,0.7948999904316562,1.070567154336849,8208,0.5604709258189731,0.9867156612652958,0.4126405205942535,0.988859262815523,0.3264070440662004,0.995904335994515,0.8932275687478936,0.9628591790397562,1.1010995142250206,0.9854280803201273,9.707855507454015,0.7078230153428304,3.872362804683294,0.9945564700388845,5.481607700418725,0.9846098478209626
2025-06-10,success,96,0.8080978193914624,1.0248035779597227,11067,0.6311388853480789,0.9887464400713327,0.48037027058652304,0.989682399614379,0.4155872014366435,0.9965698877236506,0.9884771919046849,0.9516470355082497,1.2991296886511445,0.9803993558624298,8.421119484382217,0.09369325795722654,3.57971968315698,0.9928848707052318,7.0002137437051015,0.9270274121273673
2025-06-11,success,96,0.8082237589767807,1.0294429545056654,8376,0.5950922461222977,0.9912323454041891,0.44945976882128896,0.9926780588052696,0.39859209299495857,0.9962379599074922,0.8199402193274813,0.9654084115704173,1.0084794449107113,0.9860336176051435,13.821698803521146,-0.10491380314221757,3.613872333502981,0.9961766748759837,9.59411634097805,0.9760728376403255
2025-06-12,success,96,0.8199694862684531,1.0417965133192648,7305,0.5412136751642209,0.9918855146884342,0.4007000713017308,0.9936470220601593,0.309996959967751,0.9959780543309551,0.6579421033571232,0.9700212175241755,0.793672727020166,0.9917700406913507,13.69247094478966,0.14833986849924874,3.517212482852701,0.9967358102340461,9.18859866779286,0.9711800813877745
2025-06-13,success,96,0.8162209150160821,1.0474102592914154,6795,0.5734095038235885,0.9926555192881291,0.41899650839607167,0.9936299933526328,0.3142387173042703,0.9972938002082227,0.9062179195003658,0.9599393753275568,0.9254682517398196,0.9886923470549246,18.721137153763035,0.930149432677853,3.6086365710493484,0.9958550782755499,15.023684069643839,0.9860782329253033
2025-06-14,success,96,0.8117567464768743,1.03879817905423,8391,0.6436175491214252,0.9880929215927136,0.4729732484812245,0.9908350362961961,0.392688607900563,0.9943268017456646,0.8930775787644121,0.9601548315396177,1.1094404616251707,0.9836771842921151,19.581466286894706,0.9354311514407375,4.063162639786475,0.9809670030032235,15.856004527010358,0.9900393395661876
2025-06-15,success,96,0.8213405812691299,1.046523444805692,7284,0.5892247542290132,0.9915479956090579,0.4315128646990047,0.993472755463599,0.3315684631014708,0.9973385598689538,1.1983902819532313,0.9597500971566891,1.164670109131368,0.9842385710276899,19.141394449093653,0.9895988950077139,3.6991321393190684,0.9924155844876098,16.353847769043632,0.9865369740489515
2025-06-16,success,96,0.8190993569737121,1.073916348250765,5505,0.4768544737256571,0.9922251326814319,0.3607958204105398,0.9936440823916036,0.273876620510678,0.9964564036390514,0.802308299977707,0.9508487002490842,1.0593314680721981,0.9746622218533212,17.22035901981835,0.7194401576801092,3.7103744875874143,0.9891993088067514,13.788263770642303,0.9713701554878728
2025-06-17,success,96,0.8117125590343011,1.0515121474572677,6186,0.48740965480553616,0.9905408363621164,0.34824883529464956,0.9943602327984361,0.2788488937628941,0.9925936026903092,0.5808649115013028,0.9695705831086934,0.7337848658013354,0.9924169684446377,11.146949831101795,0.41141769944522555,3.5990723729900087,0.9944745110393706,6.640305776301046,0.9910192382169251
